sid	cluster	model	bp	tp	n_full	depth	n_tools	centre	order	size_class	n_dom	domains	best_e	max_hmm_cov	has_dom	n_strong	strong_dom	best_cov	min_len	meets_len	tier	n_core	core_dom	core_cov
c00008_single	8	single	556	DNA/CMC	25.0	35.0	1.0	556.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00053_single	53	single	576	DNA/hAT	16.0	34.0	1.0	624.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00071_single	71	single	377	LTR	43.0	62.0	1.0	377.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00084_single	84	single	4434	LTR	5.0	10.0	1.0	4434.0	LTR	>2500 bp	10	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas,rve	1.5e-42	1.0	True	10	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c00108_single	108	single	279	DNA/MULE	39.0	48.0	1.0	255.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00112_single	112	single	413	LTR/Gypsy	14.0	19.0	1.0	407.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00117_single	117	single	848	LTR/Gypsy	13.0	22.0	1.0	798.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00121_single	121	single	406	DNA/hAT	112.0	65.0	1.0	413.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00124_single	124	single	308	LTR/Pao	11.0	19.0	1.0	310.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00126_single	126	single	372	DNA/MULE	57.0	51.0	1.0	272.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00134_single	134	single	324	DNA/hAT	170.0	61.0	1.0	308.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00143_single	143	single	513	DNA/hAT	38.0	51.0	1.0	439.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00168_single	168	single	552	DNA/PIF	143.0	63.0	1.0	612.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00206_single	206	single	502	RC	17.0	37.0	1.0	505.0	RC	300-600	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00210_single	210	single	318	RC	263.0	67.0	1.0	317.0	RC	300-600	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00216_single	216	single	761	LTR/Gypsy	13.0	31.0	1.0	762.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00235_single	235	single	334	LTR/Pao	14.0	59.0	1.0	339.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00236_single	236	single	269	LTR	41.0	59.0	1.0	271.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00237_single	237	single	950	LTR	10.0	18.0	1.0	952.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00244_single	244	single	378	DNA/PIF	10.0	32.0	1.0	274.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00256_single	256	single	162	RC	134.0	72.0	1.0	122.0	RC	<300 bp	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00260_single	260	single	1327	LTR/Gypsy	16.0	26.0	1.0	1310.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00262_single	262	single	629	DNA/CMC	258.0	59.0	1.0	626.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00263_single	263	single	369	LTR	23.0	60.0	1.0	357.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00264_single	264	single	7735	LTR/Gypsy	7.0	9.0	1.0	6313.0	LTR	>2500 bp	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	2.3e-43	1.0	True	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c00295_single	295	single	300	LTR	129.0	71.0	1.0	302.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00312_single	312	single	1314	LTR/Gypsy	14.0	25.0	1.0	1301.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00317_single	317	single	349	DNA/hAT	177.0	55.0	1.0	364.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00325_single	325	single	528	RC	9.0	37.0	1.0	545.0	RC	300-600	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00346_single	346	single	328	Unknown	293.0	72.0	1.0	327.0	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00352_single	352	single	266		266.0	69.0	1.0	194.0	Unknown	<300 bp	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00372_single	372	single	1368	LTR/Gypsy	7.0	16.0	1.0	1377.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00373_single	373	single	374	LTR	60.0	73.0	1.0	351.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00384_single	384	single	177	DNA/CMC	29.0	53.0	1.0	179.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00426_single	426	single	489	Unknown	717.0	70.0	1.0	491.0	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00428_single	428	single	738	LINE/L1	7.0	35.0	1.0	758.0	LINE	600-1200	1	zf-RVT	7.4e-06	0.8	True	1	zf-RVT	0.8	2500.0	False	B · core domain, short for class	1	zf-RVT	0.8
c00434_single	434	single	73	LINE/RTE	306.0	77.0	1.0	84.0	LINE	<300 bp	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00453_single	453	single	814	PLE	13.0	28.0	1.0	815.0	PLE	600-1200	0				False	0			1200.0	False	F · too short for class (MITE/fragment scale)	0		
c00467_single	467	single	197	PLE	30.0	58.0	1.0	188.0	PLE	<300 bp	0				False	0			1200.0	False	F · too short for class (MITE/fragment scale)	0		
c00503_single	503	single	487	LINE/I-Jockey	21.0	44.0	1.0	497.0	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00519_single	519	single	522	LINE/RTE	7.0	27.0	1.0	518.0	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00540_single	540	single	211	LTR/Gypsy	5.0	6.0	1.0	210.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00551_single	551	single	621	LTR	4.0	28.0	1.0	813.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00555_single	555	single	311	Unknown	97.0	73.0	2.0	286.0	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00556_single	556	single	1651	Unknown	26.0	29.0	2.0	1649.0	Unknown	1200-2500	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00557_single	557	single	270	Unknown	532.0	71.0	1.0	270.0	Unknown	<300 bp	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00559_single	559	single	1563	Unknown	12.0	14.0	2.0	1554.5	Unknown	1200-2500	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00563_single	563	single	376	Unknown	3.0	12.0	1.0	5158.0	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00581_single	581	single	1193	Unknown	40.0	50.0	2.0	974.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00588_single	588	single	854	DNA	157.0	71.0	2.0	876.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00599_single	599	single	1461	DNA	56.0	54.0	2.0	1375.5	DNA	1200-2500	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00616_single	616	single	5803	LTR/DIRS	21.0	23.0	2.0	5306.5	LTR	>2500 bp	1	RVT_1	5.4e-23	0.98	True	1	RVT_1	0.98	4000.0	True	A · autonomous (core domain + class size)	1	RVT_1	0.98
c00617_single	617	single	1167		13.0	14.0	1.0	1173.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00618_single	618	single	175	LTR	345.0	55.0	1.0	176.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00632_single	632	single	461	PLE	42.0	54.0	2.0	486.5	PLE	300-600	1	GIY-YIG	6.8e-08	0.8717948717948718	True	1	GIY-YIG	0.8717948717948718	1200.0	False	C · accessory domain only (likely truncated)	0		
c00664_single	664	single	863	LTR/Gypsy	21.0	22.0	2.0	862.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00669_single	669	single	6095	LTR/DIRS	42.0	42.0	2.0	6099.5	LTR	>2500 bp	2	RVT_1,RVT_3	1.1e-28	0.995	True	2	RVT_1,RVT_3	0.995	4000.0	True	A · autonomous (core domain + class size)	2	RVT_1,RVT_3	0.995
c00674_single	674	single	222	LTR	138.0	53.0	1.0	227.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00676_single	676	single	539	DNA/CMC	756.0	67.0	2.0	530.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00679_single	679	single	237	DNA/hAT	10.0	16.0	1.0	185.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00682_single	682	single	587	LTR/Pao	8.0	6.0	1.0	562.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00686_single	686	single	824	LTR	26.0	46.0	2.0	834.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00689_single	689	single	423	DNA/TcMar	3.0	17.0	1.0	1894.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00698_single	698	single	1018	DNA/hAT	497.0	69.0	2.0	1014.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00700_single	700	single	255	Unknown	104.0	56.0	1.0	178.0	Unknown	<300 bp	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00704_single	704	single	964	Unknown	359.0	68.0	2.0	980.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00705_single	705	single	473	DNA/hAT	77.0	64.0	2.0	434.5	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00713_single	713	single	2461	LTR	87.0	50.0	2.0	1677.5	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00719_single	719	single	1577	DNA/hAT	161.0	54.0	2.0	1307.5	DNA	1200-2500	0				False	0			1500.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00728_single	728	single	290	LTR	33.0	42.0	1.0	290.0	LTR	<300 bp	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00732_single	732	single	427	LTR	30.0	55.0	2.0	436.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00734_single	734	single	354	DNA/MULE	3195.0	67.0	2.0	477.5	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00738_single	738	single	883	LTR	21.0	37.0	2.0	881.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00742_single	742	single	575	LTR/Gypsy	41.0	24.0	2.0	476.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00747_single	747	single	1043	LTR	30.0	36.0	2.0	921.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00760_single	760	single	1163	LTR	96.0	60.0	2.0	838.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00763_single	763	single	284	DNA/hAT	619.0	68.0	1.0	283.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00768_single	768	single	878	DNA/MULE	460.0	76.0	2.0	847.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00773_single	773	single	743	RC	82.0	57.0	2.0	557.0	RC	600-1200	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
