sid	cluster	model	bp	tp	n_full	depth	n_tools	centre	order	size_class	n_dom	domains	best_e	max_hmm_cov	has_dom	n_strong	strong_dom	best_cov	min_len	meets_len	tier	n_core	core_dom	core_cov	pooled_full_len	cand_tools	lint_ok	queue_rank
c01183_model1_7363bp	1183	model1_7363bp	7372	LTR/Gypsy	113.0	69.0	4.0	7363.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	9.7e-35	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	380.0	5.0	True	1
c01201_model1_6150bp	1201	model1_6150bp	7056	LTR/Gypsy	35.0	7.0	3.0	6150.5	LTR	>2500 bp	8	Integrase_H2C2,PEG10_N-capsid,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.2e-39	1.0	True	8	Integrase_H2C2,PEG10_N-capsid,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	45.0	5.0	True	2
c01092_single	1092	single	8181	LTR/Gypsy	30.0	12.0	3.0	7957.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.5e-33	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	14.0	5.0	True	3
c01168_single	1168	single	7049	LTR/Gypsy	25.0	10.0	3.0	7041.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	6.9e-35	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	57.0	5.0	True	4
c01094_single	1094	single	7221	LTR/Gypsy	13.0	16.0	4.0	7139.0	LTR	>2500 bp	8	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve,rve_3	3.9e-43	1.0	True	8	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	13.0	5.0	True	5
c01203_model1_5207bp	1203	model1_5207bp	6010	LTR/Gypsy	67.0	34.0	4.0	5207.0	LTR	>2500 bp	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,rve	6.8e-38	1.0	True	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	117.0	5.0	True	6
c01128_single	1128	single	13260	LTR	32.0	8.0	3.0	13482.0	LTR	>2500 bp	7	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,gag-asp_proteas,rve	4.2e-29	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	31.0	4.0	True	7
c01173_single	1173	single	8036	LTR/Gypsy	30.0	24.0	3.0	8508.0	LTR	>2500 bp	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	4.3e-34	1.0	True	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	47.0	5.0	True	8
c01169_model1_5363bp	1169	model1_5363bp	5364	LTR/Gypsy	26.0	3.0	2.0	5363.0	LTR	>2500 bp	7	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve,rve_3	1.3e-38	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	36.0	5.0	True	9
c01089_single	1089	single	9324	LTR/Gypsy	19.0	14.0	3.0	9250.0	LTR	>2500 bp	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	5.7e-41	1.0	True	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	22.0	5.0	True	10
