# hit ID  target name         accession  query name           accession   hmm len  hmm from    hmm to   seq len  ali from    ali to    E-value  score  bias   PID  description of target
#------- ------------------- ---------- -------------------- ---------- --------- --------- --------- --------- --------- ---------  --------- ------ ----- ----- ---------------------
       1 c00264_single        -          RVT_1                PF00078.33      200         1       199       7735      4303      4782   2.3e-43  143.8   0.0 30.50 -
       2 c01094_single        -          RVT_1                PF00078.33      200         1       199       7221      3336      3815   3.9e-43  143.1   0.0 27.50 -
       3 c00084_single        -          RVT_1                PF00078.33      200         2       200       4434      1783      2262   1.5e-42  141.2   0.2 29.00 -
       4 c00875_single        -          RVT_1                PF00078.33      200         6       199       1690       183       905     1e-41  138.4   0.2 28.69 -
       5 c01089_single        -          RVT_1                PF00078.33      200         1       199       9324      4414      4893   5.7e-41  136.0   0.0 27.50 -
       6 c01141_single        -          RVT_1                PF00078.33      200         2       200       7065      3593      3111   6.7e-41  135.8   0.0 28.00 -
       7 c01203_single        -          RVT_1                PF00078.33      200         2       200       5220      2195      2674   1.2e-40  135.0   0.0 28.50 -
       8 c01201_model1_6150bp -          RVT_1                PF00078.33      200         2       199       7056      3784      3308   1.2e-39  131.7   0.0 27.64 -
       9 c01144_single        -          RVT_1                PF00078.33      200         1       199       9145      4847      4368   1.3e-39  131.6   0.0 28.50 -
      10 c01203_model1_5207bp -          RVT_1                PF00078.33      200        11       200       6010      2239      2694   6.8e-38  125.9   0.0 26.70 -
      11 c01169_model1_5363bp -          RVT_1                PF00078.33      200         1       187       5364      3780      4226   1.5e-37  124.8   0.0 33.51 -
      12 c00897_single        -          RVT_1                PF00078.33      200         1       199       8632      4047      4526   1.7e-37  124.6   0.0 28.00 -
      13 c01029_single        -          RVT_1                PF00078.33      200         6       199       5691      2935      3669   3.2e-36  120.5   0.1 26.12 -
      14 c01123_single        -          RVT_1                PF00078.33      200         1       197       8365      4386      3913   1.5e-35  118.3   0.0 29.80 -
      15 c01168_single        -          RVT_1                PF00078.33      200         1       198       7049      3101      3577   6.9e-35  116.1   0.0 27.64 -
      16 c01183_model1_7363bp -          RVT_1                PF00078.33      200         1       197       7372      3280      3753   9.7e-35  115.7   0.0 26.26 -
      17 c01021_single        -          RVT_1                PF00078.33      200         2       198       5105      3128      3892   2.5e-34  114.3   0.1 25.00 -
      18 c01173_single        -          RVT_1                PF00078.33      200        10       200       8036      3668      4126   4.3e-34  113.5   0.0 27.23 -
      19 c01198_single        -          RVT_1                PF00078.33      200         2       187       5485      2341      2787   4.5e-34  113.5   0.0 27.27 -
      20 c01092_single        -          RVT_1                PF00078.33      200         1       197       8181      3740      4213   1.5e-33  111.8   0.0 28.43 -
